ID ANNONCEUR;ANNONCEUR                                         ;ID AGENCE MEDIA;AGENCE MEDIA                                      ;ID CLASSE;CLASSE                                            ;ID GROUPE;GROUPE                                            ;ID FAMILLE;FAMILLE                                           ;ID REGIE;REGIE                                             ;ID SUPPORT;SUPPORT                                           ;ID PRODUIT;PRODUIT                                           ;CODE SIRET                                        ;ANNEES;SEMAINES;IP BRUT;NBRE DE SPOTS;
1350;EDIT.ALBIN MICHEL                                 ;990;ANNONCEURS DIRECTS                                ;70;EDITION IMPRIMEE                                  ;542;LIVRES ET ENCYCLOPEDIES                           ;16;EDITION                                           ;427;M6 UNLIMITED                                      ;2002;RTL                                               ;1365626;ED.ALBIN MICHEL ANAIS BOUTON                      ;32502099800010                                    ;2025;46;21 936;5;
3211;SONEPAR                                           ;7342;HULA HOOP                                         ;940;ELECTROTECH ELECTRONIQUE                          ;940;ELECTROTECHNIQUE GAMME                            ;70;INDUSTRIE                                         ;716;RMC BFM ADS                                       ;2001;RMC INFO                                          ;1360807;SONEPAR LE SUPER MOSCATO SHOW P#                  ;32676937900057                                    ;2025;46;114 800;26;
3357;CNEWS                                             ;990;ANNONCEURS DIRECTS                                ;330;INFORMATION MEDIA                                 ;545;TELEVISION                                        ;33;INFORMATION MEDIA                                 ;1341;LAGARDERE PUBLICITE NEWS                          ;2003;EUROPE 1                                          ;89931;CNEWS CHAINE P#                                   ;41291621500079                                    ;2025;46;3 199;6;
3357;CNEWS                                             ;990;ANNONCEURS DIRECTS                                ;330;INFORMATION MEDIA                                 ;545;TELEVISION                                        ;33;INFORMATION MEDIA                                 ;1341;LAGARDERE PUBLICITE NEWS                          ;2003;EUROPE 1                                          ;618023;CNEWS LE GRAND RENDEZ VOUS EUROPE 1 P#            ;41291621500079                                    ;2025;46;10 707;6;
3357;CNEWS                                             ;990;ANNONCEURS DIRECTS                                ;330;INFORMATION MEDIA                                 ;545;TELEVISION                                        ;33;INFORMATION MEDIA                                 ;1341;LAGARDERE PUBLICITE NEWS                          ;2003;EUROPE 1                                          ;1196638;CNEWS PUNCHLINE P#                                ;41291621500079                                    ;2025;46;47 259;20;
3357;CNEWS                                             ;990;ANNONCEURS DIRECTS                                ;330;INFORMATION MEDIA                                 ;545;TELEVISION                                        ;33;INFORMATION MEDIA                                 ;1341;LAGARDERE PUBLICITE NEWS                          ;2003;EUROPE 1                                          ;1280518;CNEWS EN QUETE D ESPRIT P#                        ;41291621500079                                    ;2025;46;710;3;
3357;CNEWS                                             ;990;ANNONCEURS DIRECTS                                ;330;INFORMATION MEDIA                                 ;545;TELEVISION                                        ;33;INFORMATION MEDIA                                 ;1341;LAGARDERE PUBLICITE NEWS                          ;2003;EUROPE 1                                          ;1288579;CNEWS LA GRANDE INTERVIEW P#                      ;41291621500079                                    ;2025;46;6 575;1;
3357;CNEWS                                             ;990;ANNONCEURS DIRECTS                                ;330;INFORMATION MEDIA                                 ;545;TELEVISION                                        ;33;INFORMATION MEDIA                                 ;1341;LAGARDERE PUBLICITE NEWS                          ;2003;EUROPE 1                                          ;1288787;CNEWS L HEURE DES PROS P#                         ;41291621500079                                    ;2025;46;51 694;19;
3357;CNEWS                                             ;990;ANNONCEURS DIRECTS                                ;332;REGIES                                            ;564;REGIES                                            ;33;INFORMATION MEDIA                                 ;1341;LAGARDERE PUBLICITE NEWS                          ;2003;EUROPE 1                                          ;1163856;CNEWS CHAINE REGIES TV                            ;41291621500079                                    ;2025;46;99 620;48;
3403;GROUPE MONCEAU                                    ;7763;AGENCE NENO                                       ;33;ASSUREURS                                         ;37;PRODUITS ASSURANCE                                ;14;ETS FINANCIERS ASSURANCE                          ;236;RADIO FRANCE PUBLICITE                            ;2020;FRANCE INTER                                      ;234618;MONCEAU ASSURANCE RETRAITE                        ;31083808100043                                    ;2025;46;43 018;14;
3403;GROUPE MONCEAU                                    ;7763;AGENCE NENO                                       ;33;ASSUREURS                                         ;37;PRODUITS ASSURANCE                                ;14;ETS FINANCIERS ASSURANCE                          ;236;RADIO FRANCE PUBLICITE                            ;2022;FRANCE INFO                                       ;234618;MONCEAU ASSURANCE RETRAITE                        ;31083808100043                                    ;2025;46;15 675;11;
3403;GROUPE MONCEAU                                    ;7763;AGENCE NENO                                       ;33;ASSUREURS                                         ;37;PRODUITS ASSURANCE                                ;14;ETS FINANCIERS ASSURANCE                          ;424;TF1 PUBLICITE                                     ;2019;LES INDES RADIOS                                  ;234618;MONCEAU ASSURANCE RETRAITE                        ;31083808100043                                    ;2025;46;112 300;14;
3528;GROUPAMA                                          ;19;IPROSPECT CONSEIL FRANCE                          ;33;ASSUREURS                                         ;37;PRODUITS ASSURANCE                                ;14;ETS FINANCIERS ASSURANCE                          ;236;RADIO FRANCE PUBLICITE                            ;2022;FRANCE INFO                                       ;65348;GROUPAMA ASSURANCE RETRAITE                       ;34311513500117                                    ;2025;46;13 560;21;
3528;GROUPAMA                                          ;19;IPROSPECT CONSEIL FRANCE                          ;33;ASSUREURS                                         ;37;PRODUITS ASSURANCE                                ;14;ETS FINANCIERS ASSURANCE                          ;236;RADIO FRANCE PUBLICITE                            ;18919;ICI                                               ;65348;GROUPAMA ASSURANCE RETRAITE                       ;34311513500117                                    ;2025;46;7 990;21;
3528;GROUPAMA                                          ;19;IPROSPECT CONSEIL FRANCE                          ;33;ASSUREURS                                         ;37;PRODUITS ASSURANCE                                ;14;ETS FINANCIERS ASSURANCE                          ;422;NRJ GLOBAL                                        ;2015;CHERIE FM                                         ;65348;GROUPAMA ASSURANCE RETRAITE                       ;34311513500117                                    ;2025;46;48 690;23;
3528;GROUPAMA                                          ;19;IPROSPECT CONSEIL FRANCE                          ;33;ASSUREURS                                         ;37;PRODUITS ASSURANCE                                ;14;ETS FINANCIERS ASSURANCE                          ;422;NRJ GLOBAL                                        ;2018;NOSTALGIE                                         ;65348;GROUPAMA ASSURANCE RETRAITE                       ;34311513500117                                    ;2025;46;90 120;26;
3528;GROUPAMA                                          ;19;IPROSPECT CONSEIL FRANCE                          ;33;ASSUREURS                                         ;37;PRODUITS ASSURANCE                                ;14;ETS FINANCIERS ASSURANCE                          ;422;NRJ GLOBAL                                        ;2025;RIRE ET CHANSONS                                  ;65348;GROUPAMA ASSURANCE RETRAITE                       ;34311513500117                                    ;2025;46;30 240;24;
3528;GROUPAMA                                          ;19;IPROSPECT CONSEIL FRANCE                          ;33;ASSUREURS                                         ;37;PRODUITS ASSURANCE                                ;14;ETS FINANCIERS ASSURANCE                          ;424;TF1 PUBLICITE                                     ;2019;LES INDES RADIOS                                  ;65348;GROUPAMA ASSURANCE RETRAITE                       ;34311513500117                                    ;2025;46;214 830;24;
